names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group
MT-ND3	11.359531	0.6198683	6.650071940905552e-30	9.487316147909203e-28	0.9979101358411703
ENSG00000289901	10.509851	0.9440863	7.781617639687837e-26	8.451861496472471e-24	0.9937304075235109
MT-CO3	10.442996	0.5058381	1.5775131768357707e-25	1.685639889725769e-23	1.0
MDM2	10.147437	0.9543374	3.4017879326927586e-24	3.288768824452746e-22	0.991292232671543
BPTF	9.650054	0.84525996	4.913003733900379e-22	4.14277659900424e-20	0.9829327760362243
FRYL	9.554983	0.98373824	1.2360426606244317e-21	1.0068788253660687e-19	0.9749216300940439
PPP3CA	9.457965	0.9064931	3.1399414665827006e-21	2.481211830165186e-19	0.9721351445489377
FAM172A	9.334259	0.9764188	1.0170044128693443e-20	7.73538831955637e-19	0.9355625217694183
PRDM2	9.205207	0.99451065	3.4101352938331103e-20	2.4726291431356396e-18	0.9230233368164402
MEF2C	9.152097	0.8995893	5.583882354243408e-20	3.983119107447197e-18	0.9738766980146291
CUL3	9.128883	0.94917434	6.920958352489079e-20	4.871062767926513e-18	0.9449669104841518
LGALS3	9.080546	0.7495058	1.0803153371988578e-19	7.503358603865646e-18	0.9885057471264368
MED13	9.050344	0.9981383	1.42517537167808e-19	9.780294152037523e-18	0.9272030651340997
ZC3H12C	8.792279	0.9996705	1.4655555366173444e-18	9.527193910823048e-17	0.8937652385928248
CASP8	8.708587	0.83664435	3.0768659348238057e-18	1.9568125932001132e-16	0.9808429118773946
ALMS1	8.695682	0.9807611	3.447537689989129e-18	2.176814886408686e-16	0.821664925113201
SRPK2	8.685182	0.78081286	3.781368375662838e-18	2.3762298937826017e-16	0.9784047370254266
STAU2	8.673002	0.93827087	4.208740050587777e-18	2.6322577287953366e-16	0.8721699756182515
POU2AF1	8.638601	0.8602762	5.6905497945473165e-18	3.4847025690832323e-16	0.9662138627655869
RERE	8.626001	0.92139184	6.3534267954616026e-18	3.881620217884678e-16	0.9219784047370254
CCL5	8.615922	0.9975119	6.938123880775147e-18	4.219306534223467e-16	0.9324277255311738
MSR1	8.585491	0.84777987	9.044902759632611e-18	5.475277948050081e-16	0.9557645419714386
RCSD1	8.554909	0.9268002	1.1796240980346523e-17	7.059822861548431e-16	0.9219784047370254
TOP2B	8.534138	0.9951785	1.4120434191135814e-17	8.374845384419046e-16	0.8648554510623476
NCOA2	8.525929	0.89137346	1.5158824435542315e-17	8.97055724949032e-16	0.9317311041448972
ATRX	8.518446	0.75916445	1.6170908324358437e-17	9.548071217109446e-16	0.9648206199930338
CDYL	8.508404	0.94019824	1.763439478935012e-17	1.0365803600786588e-15	0.8617206548241031
DYNC1H1	8.506839	0.95154816	1.7874024005482293e-17	1.0483313679482092e-15	0.8474399164054337
SLAIN2	8.483968	0.87423676	2.1764148337632545e-17	1.2708432899892385e-15	0.931382793451759
POU6F2	8.473315	0.99637216	2.3850528699906003e-17	1.386535251049822e-15	0.8477882270985719
BBX	8.470796	0.9091455	2.4372249728933028e-17	1.4137511804301745e-15	0.8982932776036224
SENP6	8.462472	0.9151392	2.617681842353707e-17	1.5117828635720217e-15	0.9373040752351097
CADM1	8.408294	0.89797974	4.160195382631847e-17	2.3562239642446853e-15	0.9578544061302682
PTEN	8.387332	0.86844754	4.97299090004986e-17	2.8045330945516234e-15	0.9627307558342041
HELZ	8.372556	0.8443808	5.638173366542161e-17	3.159412094758965e-15	0.9265064437478231
WIPF1	8.358276	0.9365888	6.364126901432778e-17	3.55865257011685e-15	0.8627655869035179
CHD7	8.337773	0.89389515	7.570267015972296e-17	4.197522213289009e-15	0.896551724137931
CLASP2	8.28913	0.90164727	1.1407932231392262e-16	6.2596581160735135e-15	0.8735632183908046
PPP2R5E	8.276836	0.98099256	1.264910028902561e-16	6.911960743856168e-15	0.8188784395680947
CYRIB	8.265534	0.93549126	1.3907003524472837e-16	7.552418601263613e-15	0.8780912574016022
