names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group
MT-ND3	17.337368	1.0906551	2.4573790879182816e-67	2.1619202089142404e-63	0.9943386515697376
SOX5	15.973431	4.204929	1.9572004954160332e-57	8.609398779252561e-54	0.7658260422027792
ENSG00000289474	15.756844	1.5675088	6.163563300112334e-56	2.323927516855212e-52	0.997941327843541
STAT1	15.303269	1.955805	7.271039764099219e-53	2.1322728054874523e-49	0.9402985074626866
PLCG2	14.589869	1.5243764	3.2582306788054946e-48	7.166206858809451e-45	0.9660319094184251
TTN	14.567473	2.2722025	4.523155852016235e-48	9.183050184789574e-45	0.9155944415851776
VOPP1	14.137238	1.3021083	2.2390296760636676e-45	3.693419390021774e-42	0.9701492537313433
WNT5B	12.517521	1.9145467	5.9876475945618e-36	4.8970529569844525e-33	0.8383942357179619
RNF213	12.301211	1.4221749	8.922633505146436e-35	6.364731516252158e-32	0.9063304168811117
DCC	12.19361	1.2319481	3.361896727193308e-34	2.3350142189687628e-31	0.9927946474523932
CEP128	12.146989	1.445007	5.951727388826566e-34	4.027793358289732e-31	0.9464745239320638
PPP1R12A	12.049312	1.2535465	1.955763161977189e-33	1.2290108841443796e-30	0.9341224909933094
SLC9A9	11.805173	1.8312488	3.670337342691299e-32	2.2016184883102604e-29	0.7858980957282553
FNDC3B	10.878124	1.027144	1.465477094887886e-27	6.555650333114573e-25	0.9809572825527535
CCDC141	10.704167	1.8408086	9.730152655170912e-27	3.9508910619680905e-24	0.7328872876994339
EPIC1	10.554824	1.0935835	4.8254396669888213e-26	1.8457656395773327e-23	0.9634585692228512
CPEB3	10.45382	1.3056952	1.4073943716915385e-25	5.30647995029354e-23	0.8878023674729799
PTPRC	10.426491	1.7627615	1.8769320671889926e-25	6.977164513988603e-23	0.6917138445702522
XKR6	10.296826	1.1077787	7.282410041109626e-25	2.6329403865069364e-22	0.8934637159032424
PDE7A	10.235903	1.131608	1.3691203309583925e-24	4.754630644076954e-22	0.9397838394235718
BCL2L11	10.18529	1.6858944	2.3067052703066635e-24	7.906606779117372e-22	0.6870818322182193
MCL1	10.129966	1.0434823	4.067928357754874e-24	1.3590485208382835e-21	0.9279464745239321
MAST4	10.051857	1.630332	9.015250446945541e-24	2.9375247536572055e-21	0.7236232629953679
AFF1	9.958171	1.0654067	2.3229761536739806e-23	7.298846383799686e-21	0.9037570766855378
ENSG00000289349	9.901349	1.1914175	4.106965845209407e-23	1.2752370535601396e-20	0.9022130725681935
AIM2	9.79519	1.692262	1.180751599963315e-22	3.462619664203531e-20	0.6443643849716932
PPM1L	9.579989	1.109486	9.705515687916977e-22	2.668309120324925e-19	0.9608852290272774
TXK	9.57184	1.1885579	1.0501962463719943e-21	2.857508199020211e-19	0.9135357694287185
WARS1	9.522336	1.3456091	1.6932895370052772e-21	4.469099075018028e-19	0.822439526505404
MIR142HG	9.52084	1.4485348	1.7178586645748414e-21	4.489053835061762e-19	0.7004632012352033
NECTIN1	9.509364	1.0890213	1.9183139235920557e-21	4.963731312290699e-19	0.8492022645393721
RFX7	9.357082	1.2167264	8.196866023397643e-21	2.060379856719371e-18	0.7982501286670097
ZMAT3	9.287954	1.6933441	1.57281825386559e-20	3.879569362081731e-18	0.6206896551724138
PRDM2	9.18185	1.0686597	4.2374475461189914e-20	1.0167177553156232e-17	0.8883170355120947
IRF1	9.06333	1.7919159	1.2652810256779417e-19	2.955270983249373e-17	0.5872362326299537
MCPH1	9.016376	1.0778444	1.9441503851420305e-19	4.3856377021413347e-17	0.8574369531652084
DCAF8	8.9889345	1.0970714	2.496377153988734e-19	5.583634086883446e-17	0.8265568708183222
TOX2	8.772348	1.192284	1.749784191807034e-18	3.754638550761223e-16	0.7478126608337622
RFFL	8.716746	1.1438364	2.863108460906923e-18	6.045281728697314e-16	0.7848687596500258
ATP8A1	8.649059	1.0332823	5.192562836480194e-18	1.0791126845922974e-15	0.8733916623777663
APOL6	8.56635	1.8303661	1.0681733213103705e-17	2.185449493747644e-15	0.5275347400926402
RBPJ	8.517567	1.0102655	1.6294120790076885e-17	3.257960075852267e-15	0.8203808543489449
DNM3	8.428204	1.4727507	3.510106043959444e-17	6.965581114152e-15	0.6587750900669068
ENSG00000228113	8.374432	1.5730828	5.5491070680424327e-17	1.0612868322235067e-14	0.5728255275347401
DHX15	8.291057	1.0693287	1.1224702150464427e-16	2.1009301675405945e-14	0.7627380339680906
ERCC6L2	8.290502	1.5757912	1.1277143601687565e-16	2.1009301675405945e-14	0.5784868759650026
LINC02964	8.162779	2.4334435	3.2740460241883806e-16	5.838641670027293e-14	0.4662892434379825
CXXC4-AS1	8.140383	1.2700144	3.9403103522990037e-16	6.979638330753531e-14	0.705609881626351
BRD9	8.081898	1.0160245	6.376644570705483e-16	1.1072288168067752e-13	0.7632527020072054
SMG6	8.075967	1.069376	6.694433387558432e-16	1.154811636587122e-13	0.7786927431806485
MACC1	8.030176	1.5661157	9.73324776755477e-16	1.6681143397991755e-13	0.5831188883170355
CARD18	8.00074	1.0339574	1.2367340188083194e-15	2.105878771510192e-13	0.833762223365929
MAN1C1	7.765361	1.5027909	8.141313217301508e-15	1.3022647257226586e-12	0.5635615028306742
VPS13B	7.6921306	1.0150312	1.447050214206246e-14	2.2465880178556145e-12	0.7267112712300566
WDFY1	7.6619735	1.1216596	1.8309750664462905e-14	2.809588658646334e-12	0.6855378281008749
MIR548XHG	7.643735	1.3090587	2.1100924418155142e-14	3.1823811323906777e-12	0.6237776634071024
C21orf91	7.6149087	1.1336159	2.638780588791766e-14	3.869185337776727e-12	0.6839938239835306
ABCA1	7.5589185	2.7477298	4.064338320664814e-14	5.767208671898196e-12	0.373134328358209
ELOVL5	7.4549217	1.1291248	8.992132125485944e-14	1.2557108105182569e-11	0.6634071024189397
THUMPD3-AS1	7.4481583	1.1123464	9.465213431670731e-14	1.3148177794846611e-11	0.6402470406587751
MSC-AS1	7.406637	1.0020145	1.2954225914127305e-13	1.7900569871809527e-11	0.7617086978898611
CAMK4	7.3100686	1.4349368	2.6700648708097757e-13	3.613898571040124e-11	0.5373134328358209
RHOH	7.302363	1.0063255	2.8275752804469677e-13	3.7882332170983155e-11	0.7467833247555327
